“starting the job...”
0,1,2,3
training/configs/rand_gen_zinc250k_config_dict.json
Training model...
Model #Params: 5207K
[Train][100] Alpha: 0.000, Beta: 0.000, Loss: 122.00, KL: 590.90, MAE: 7.85863, Word Loss: 91.04, Topo Loss: 22.04, Assm Loss: 8.93, Pred Loss: 71.44, Word: 28.53, Topo: 83.05, Assm: 55.62, PNorm: 103.38, GNorm: 50.00
[Train][200] Alpha: 0.000, Beta: 0.000, Loss: 77.01, KL: 364.00, MAE: 1.77695, Word Loss: 56.18, Topo Loss: 12.45, Assm Loss: 8.37, Pred Loss: 3.68, Word: 50.55, Topo: 91.42, Assm: 58.51, PNorm: 107.98, GNorm: 50.00
[Train][300] Alpha: 0.000, Beta: 0.000, Loss: 65.93, KL: 391.19, MAE: 1.52134, Word Loss: 47.05, Topo Loss: 10.82, Assm Loss: 8.06, Pred Loss: 2.71, Word: 60.28, Topo: 92.49, Assm: 60.83, PNorm: 111.56, GNorm: 48.01
[Train][400] Alpha: 0.000, Beta: 0.000, Loss: 59.80, KL: 421.62, MAE: 1.40053, Word Loss: 42.48, Topo Loss: 9.50, Assm Loss: 7.82, Pred Loss: 2.25, Word: 64.19, Topo: 93.43, Assm: 61.92, PNorm: 114.77, GNorm: 50.00
[Train][500] Alpha: 0.000, Beta: 0.000, Loss: 56.18, KL: 464.71, MAE: 1.40080, Word Loss: 39.32, Topo Loss: 9.29, Assm Loss: 7.57, Pred Loss: 2.19, Word: 66.49, Topo: 93.29, Assm: 63.39, PNorm: 117.75, GNorm: 42.50
[Train][600] Alpha: 0.000, Beta: 0.000, Loss: 53.11, KL: 513.11, MAE: 1.48744, Word Loss: 36.93, Topo Loss: 8.85, Assm Loss: 7.33, Pred Loss: 2.55, Word: 67.84, Topo: 93.73, Assm: 63.93, PNorm: 120.65, GNorm: 47.14
[Train][700] Alpha: 0.000, Beta: 0.000, Loss: 50.65, KL: 543.01, MAE: 1.35252, Word Loss: 34.76, Topo Loss: 8.67, Assm Loss: 7.22, Pred Loss: 2.18, Word: 69.71, Topo: 93.77, Assm: 64.55, PNorm: 123.36, GNorm: 50.00
[Train][800] Alpha: 0.000, Beta: 0.000, Loss: 48.47, KL: 575.33, MAE: 1.22752, Word Loss: 33.39, Topo Loss: 7.90, Assm Loss: 7.19, Pred Loss: 1.72, Word: 70.92, Topo: 94.35, Assm: 65.29, PNorm: 126.33, GNorm: 38.20
[Train][900] Alpha: 0.000, Beta: 0.000, Loss: 46.28, KL: 618.77, MAE: 1.06696, Word Loss: 31.77, Topo Loss: 7.87, Assm Loss: 6.64, Pred Loss: 1.27, Word: 72.10, Topo: 94.35, Assm: 67.76, PNorm: 128.96, GNorm: 41.61
[Train][1000] Alpha: 0.000, Beta: 0.000, Loss: 43.86, KL: 659.95, MAE: 1.08250, Word Loss: 30.04, Topo Loss: 7.50, Assm Loss: 6.31, Pred Loss: 1.31, Word: 73.46, Topo: 94.73, Assm: 69.32, PNorm: 131.53, GNorm: 43.75
[Train][1100] Alpha: 0.000, Beta: 0.000, Loss: 42.99, KL: 681.64, MAE: 1.04179, Word Loss: 29.73, Topo Loss: 7.39, Assm Loss: 5.86, Pred Loss: 1.29, Word: 73.99, Topo: 94.81, Assm: 71.77, PNorm: 134.08, GNorm: 43.72
[Train][1200] Alpha: 0.000, Beta: 0.000, Loss: 42.03, KL: 698.40, MAE: 0.91538, Word Loss: 28.57, Topo Loss: 7.48, Assm Loss: 5.98, Pred Loss: 0.96, Word: 74.39, Topo: 94.62, Assm: 72.35, PNorm: 136.43, GNorm: 50.00
[Train][1300] Alpha: 0.000, Beta: 0.000, Loss: 40.48, KL: 710.80, MAE: 0.91326, Word Loss: 27.56, Topo Loss: 7.46, Assm Loss: 5.47, Pred Loss: 0.96, Word: 75.64, Topo: 94.58, Assm: 74.34, PNorm: 138.70, GNorm: 50.00
